(-2.91652e-14, 7.4159e-15, 0.785399)
(0.10516, 0.105253, 0.785278)
(0.210966, 0.210327, 0.785044)
(0.315686, 0.315518, 0.784995)
(0.420245, 0.420286, 0.785089)
(0.525117, 0.525193, 0.785111)
(0.630179, 0.630071, 0.785042)
(0.735038, 0.734934, 0.785079)
(0.839949, 0.839727, 0.785082)
(0.944761, 0.944557, 0.785124)
(1.04972, 1.04931, 0.785085)
(1.15451, 1.15389, 0.785111)
(1.25925, 1.25891, 0.785183)
(1.36417, 1.36413, 0.78525)
(1.46875, 1.46827, 0.785271)
(1.57334, 1.57245, 0.785293)
(1.67803, 1.67661, 0.785362)
(1.78238, 1.78054, 0.785376)
(1.887, 1.88525, 0.785391)
(1.9917, 1.98985, 0.785358)
(2.09633, 2.09447, 0.78535)
(2.20079, 2.19902, 0.785329)
(2.30562, 2.30382, 0.785359)
(2.41043, 2.40865, 0.78539)
(2.51507, 2.51348, 0.785371)
(2.61998, 2.61835, 0.785385)
(2.72497, 2.72323, 0.785423)
(2.82993, 2.82815, 0.785436)
(2.93488, 2.93321, 0.78542)
(3.04012, 3.03863, 0.785427)
(3.14521, 3.14307, 0.785503)
(3.25018, 3.24804, 0.785471)
(3.35525, 3.35297, 0.785444)
(3.46038, 3.45801, 0.78543)
(3.56544, 3.56313, 0.785412)
(3.67042, 3.66821, 0.785375)
(3.77525, 3.7732, 0.785333)
(3.88003, 3.87808, 0.785299)
(3.98485, 3.98289, 0.785259)
(4.08974, 4.08771, 0.785228)
(4.19478, 4.19266, 0.785229)
(4.29972, 4.29766, 0.7852)
(4.40461, 4.40264, 0.78519)
(4.50961, 4.50761, 0.785211)
(4.61464, 4.61254, 0.785221)
(4.71961, 4.7175, 0.785208)
(4.82439, 4.82239, 0.785209)
(4.92929, 4.92724, 0.785204)
(5.03419, 5.03212, 0.785187)
(5.13912, 5.13707, 0.785217)
(5.24399, 5.24181, 0.785252)
(5.34918, 5.34645, 0.785247)
(5.45324, 5.45088, 0.785296)
(5.55768, 5.55526, 0.785319)
(5.66233, 5.65986, 0.785336)
(5.76707, 5.7646, 0.785337)
(5.8718, 5.86939, 0.785339)
(5.97653, 5.97427, 0.785316)
(6.08141, 6.07914, 0.785332)
(6.18625, 6.18398, 0.785346)
(6.29123, 6.28883, 0.785363)
(6.39618, 6.3938, 0.785355)
(6.50107, 6.49874, 0.78537)
(6.60598, 6.60367, 0.785371)
(6.71097, 6.70871, 0.78535)
(6.81591, 6.81383, 0.785338)
(6.92087, 6.91893, 0.785346)
(7.02588, 7.02401, 0.785358)
(7.13085, 7.12905, 0.785379)
(7.23577, 7.2341, 0.785415)
(7.3407, 7.33926, -0.785333)
(7.44576, 7.23417, -0.785378)
(7.55089, 7.12905, -0.78543)
(7.656, 7.02393, -0.785473)
(7.76102, 6.91886, -0.785499)
(7.86599, 6.81384, -0.785515)
(7.97092, 6.70876, -0.785531)
(8.07596, 6.60354, -0.785584)
(8.18106, 6.49848, -0.785624)
(8.28611, 6.39347, -0.785634)
(8.39114, 6.28844, -0.785632)
(8.49612, 6.18349, -0.785615)
(8.60098, 6.0786, -0.785604)
(8.70589, 5.97366, -0.785602)
(8.81078, 5.86876, -0.785601)
(8.91557, 5.76392, -0.785598)
(9.02034, 5.65912, -0.785593)
