(4.20024, -0.44981)
(-0.88681, -9.00236)
(10.7717, -0.711252)
(-0.837942, -7.78911)
(9.28663, -4.86738)
(7.6871, -10.9066)
(4.1448, -10.9818)
(11.1765, -9.34256)
(10.7441, -7.14206)
(-0.533719, -9.89469)
(1.47933, -0.523265)
(8.8814, 0.67876)
(2.99397, -9.41473)
(8.23922, -9.38886)
(9.56648, -8.53384)
(8.98124, 0.513038)
(-0.750646, -0.691283)
(-0.719417, -5.18414)
(6.33491, -0.415155)
(-0.685397, -9.85933)
(11.17, 0.956324)
(0.837123, -2.90482)
(4.38595, -10.9451)
(10.9086, 0.0150492)
(0.479099, -10.6733)
(-0.742116, -0.601934)
(8.75993, -9.54365)
(0.595506, -6.24204)
(-0.815091, -5.30043)
(3.09496, -10.6486)
(-0.652405, -4.89673)
(-0.936122, 0.095483)
(1.69137, -10.8263)
(8.63265, 0.424427)
(3.1241, -0.742366)
(7.58904, -9.46375)
(11.0547, -0.965398)
(5.64597, -11.1025)
(2.88057, -0.424794)
(-0.866537, -7.19992)
(-0.732298, -1.82809)
(9.7285, -11.017)
(-0.77572, 0.0879001)
(9.14644, -3.81367)
(6.73787, -0.858677)
(10.6456, -5.83314)
(11.0842, -3.79487)
(0.794834, -6.83497)
(-0.319655, -10.7277)
(0.792385, -9.62585)
(9.55917, -3.56754)
(10.8976, -2.05622)
(1.24622, -10.9772)
(6.81794, -9.25834)
(2.46374, -0.955347)
(11.1831, -9.31568)
(4.62388, 0.735174)
(9.37099, -4.01885)
(7.87672, -9.74618)
(-0.911697, -5.37342)
(0.862994, -0.42042)
(3.33813, -9.30201)
(-0.593122, -1.19236)
(-0.884923, -2.90694)
(1.00767, -9.29104)
(1.58659, -10.9716)
(8.03011, -0.51225)
(10.5955, -5.43604)
(11.0796, 0.543436)
(-0.0638141, 0.985139)
(9.34622, -0.924938)
(1.50133, -0.677781)
(5.31103, 0.51553)
(7.54762, -0.736838)
(1.71787, -10.9915)
(-0.855304, -8.15379)
(6.20413, -10.9534)
(1.117, -0.915014)
(0.736597, -7.28622)
(6.2837, -10.9423)
(5.65232, -10.7509)
(0.750388, -3.81016)
(11.1535, -2.20084)
(9.28979, -7.55989)
(0.52356, -6.01375)
(8.25027, -9.71129)
(2.85574, -11.0003)
(2.50745, -10.6627)
(5.16441, -9.64684)
(-0.799369, -2.32835)
(10.8613, -6.47817)
(5.88348, -0.574849)
(2.75581, -10.8441)
(11.1107, 0.143865)
(1.07118, -10.7703)
(9.18379, -8.78725)
(5.7119, -0.759245)
(9.12723, 0.526537)
(1.14351, -10.5917)
(2.56445, -11.1376)
(9.73102, -5.17203)
(-0.441089, -2.77656)
(11.1023, -2.55682)
(1.42689, -11.0581)
(8.6707, 0.4874)
(7.04421, -1.01146)
(-0.90127, -8.68401)
(6.82378, -0.4434)
(0.722466, -6.54377)
(1.74571, -9.53359)
(0.764732, -11.0493)
(-0.921032, -1.62157)
(-0.630809, -3.87215)
(6.73811, 0.416674)
(10.7145, -3.53947)
(8.89522, -10.8917)
(-1.00894, 0.115671)
(7.81377, -11.0209)
(3.93409, -9.63229)
(7.14169, -11.0038)
(-0.458731, -6.26623)
(2.38177, 0.417757)
(10.8682, -0.849036)
(-0.810934, -9.25032)
(0.691845, -2.14912)
(3.40614, -10.8924)
(9.17154, -2.70394)
(-0.655474, -6.0315)
(2.4082, -11.1347)
(0.970012, -6.19031)
(-0.557883, -7.10221)
(3.35283, 0.859555)
(1.01114, -4.96658)
(0.0207054, -11.1614)
(1.48055, 0.665673)
(9.34907, -1.51081)
(0.53403, 0.968211)
(10.973, -5.64865)
(11.1206, -10.3491)
(-0.542551, 0.558251)
(7.27861, 0.684667)
(10.1324, -10.5893)
(2.78504, -9.54631)
(0.158672, -10.8924)
(10.8502, -4.96307)
(0.603275, -8.33872)
(7.93228, -0.824305)
(0.651324, -3.34113)
(4.93296, 0.845603)
(10.7391, -0.0352415)
(1.05998, -9.25535)
(0.866312, -3.30507)
(4.27052, -9.75654)
(11.1545, -0.507335)
(5.22481, 0.699305)
(0.982031, 0.679373)
(1.76304, -9.60518)
(-0.497774, -10.207)
(0.552267, -5.49323)
(0.474833, -5.59095)
(9.3378, -4.60354)
(10.0794, 0.751482)
(-0.949602, -7.57343)
(9.17196, -8.48564)
(6.28168, -9.53142)
(4.95198, -9.32483)
(9.9259, -10.6836)
(9.41248, -1.39691)
(9.60306, -2.75453)
(-0.737622, -2.70424)
(0.999972, -10.736)
(10.6613, -3.21065)
(-0.508749, -9.21291)
(9.23171, -8.24143)
(10.9476, -4.61215)
(4.04472, -10.6177)
(10.9403, -4.86429)
(9.31588, -1.60278)
(9.68384, -10.7301)
(11.1311, -9.4514)
(9.18835, -10.7239)
(0.835613, -7.16877)
(9.69669, -8.31211)
(-0.431759, -2.32765)
(-0.771756, 0.104022)
(8.29311, -10.9866)
(-0.567146, -1.13343)
